정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,도로명 주소
GGB233000459,석포3리,37.1206167,126.8308833,2023-10-16,36886,31240,경기도 화성시,경기,경기 화성시 장안면 석포리 115-1
GGB233000460,석포2리,37.1292667,126.8372167,2023-10-16,37438,31240,경기도 화성시,경기,경기 화성시 팔탄면 월문리 248
GGB233000461,석포4리,37.13005,126.8395833,2023-10-16,36885,31240,경기도 화성시,경기,경기 화성시 장안면 석포리 426-2
GGB233000462,화당리,37.1220167,126.8648333,2023-10-16,36884,31240,경기도 화성시,경기,경기 화성시 팔탄면 월문리 64-2
GGB233000463,월문초등학교,37.1179,126.8715167,2023-10-16,37437,31240,경기도 화성시,경기,경기 화성시 장안면 석포리 415-3
GGB233000464,월문온천,37.1144333,126.87755,2023-10-16,36883,31240,경기도 화성시,경기,경기 화성시 장안면 노진리 930-107
GGB233000465,문학2리,37.1587833,126.96855,2023-10-16,36882,31240,경기도 화성시,경기,경기 화성시 팔탄면 월문리 산 33-19
GGB233000466,노진리종점,37.03425,126.8193,2023-10-16,36881,31240,경기도 화성시,경기,경기 화성시 장안면 노진리 819-3
GGB233000467,노진5리,37.0419167,126.8156,2023-10-16,37436,31240,경기도 화성시,경기,경기 화성시 정남면 문학리 752-3
GGB233000468,이화2리앞,37.0422167,126.7976833,2023-10-16,36880,31240,경기도 화성시,경기,경기 화성시 우정읍 이화리 산 57-2
GGB233000469,이화3리입구,37.0404333,126.8002167,2023-10-16,36879,31240,경기도 화성시,경기,경기 화성시 우정읍 이화리 산 57-2
GGB233000470,애덕가정,37.03285,126.8023667,2023-10-16,36462,31240,경기도 화성시,경기,경기 화성시 우정읍 이화리 1047-3
GGB233000471,슈마타운,37.0361,126.8035167,2023-10-16,36878,31240,경기도 화성시,경기,경기 화성시 비봉면 삼화리 산 18-3
GGB233000473,석천1리포도원,37.0580333,126.7937833,2023-10-16,36906,31240,경기도 화성시,경기,경기 화성시 우정읍 이화리 산 36-11
GGB233000474,건농골교차로,37.2567167,126.8502667,2023-10-16,55830,31240,경기도 화성시,경기,경기 화성시 우정읍 화산리 1203-1
GGB233000475,매향4리,37.03945,126.7703,2023-10-16,36905,31240,경기도 화성시,경기,경기 화성시 우정읍 석천리 939-4
GGB233000476,사곡1리,37.0689,126.80925,2023-10-16,37434,31240,경기도 화성시,경기,경기 화성시 우정읍 화산리 664-20
GGB233000477,기아생활관,37.0643,126.7958833,2023-10-16,36904,31240,경기도 화성시,경기,경기 화성시 장안면 사곡리 451-19
GGB233000478,석천2리입구,37.0563333,126.7812,2023-10-16,36903,31240,경기도 화성시,경기,경기 화성시 우정읍 석천리 1029-8
