정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
동탄역(동측),55399,1000,장외리.오리골 - 장외리.오리골,2024-05,일반인,3,0,7,0,4,0,10,0,0,0,0,0,0,104,5,0,0,50,5,0,0,0,0,0,37,40,3,2,31,42,2,2,0,0,0,0,0,25,0,7,0,15,0,0,0,0,0,0,
동탄역(동측),55399,1000,장외리.오리골 - 장외리.오리골,2024-05,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,1000,장외리.오리골 - 장외리.오리골,2024-05,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,3,19,1,1,1,5,0,0,0,0,0,0,0,9,0,1,0,1,0,0,0,0,0,0,
동탄역(동측),55399,1000,장외리.오리골 - 장외리.오리골,2024-05,경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,1000,장외리.오리골 - 장외리.오리골,2024-05,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,17,병점역후문 - 병점역후문,2024-05,일반인,0,0,1,0,49,29,177,295,169,281,151,214,172,223,220,140,231,162,284,157,245,118,365,151,453,134,669,208,783,142,632,109,791,119,458,73,435,86,0,28,0,0,0,0,0,0,0,0,
동탄역(동측),55399,17,병점역후문 - 병점역후문,2024-05,어린이,0,0,0,0,0,0,3,0,6,9,0,2,1,5,1,0,3,1,5,1,7,1,8,2,11,1,10,4,9,0,6,1,7,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,17,병점역후문 - 병점역후문,2024-05,청소년,0,0,0,0,1,0,10,13,63,24,1,7,4,12,13,0,12,6,15,6,17,3,42,9,55,49,85,40,63,15,33,18,39,11,17,13,34,14,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,17,병점역후문 - 병점역후문,2024-05,경로,0,0,0,0,15,3,20,13,9,28,24,23,50,52,50,19,38,28,47,21,42,32,62,19,76,30,65,24,37,4,24,3,27,6,17,1,17,0,0,2,0,0,0,0,0,0,0,0,
동탄역(동측),55399,17,병점역후문 - 병점역후문,2024-05,장애인,0,0,0,0,0,0,0,0,3,1,2,7,2,2,2,1,6,0,1,0,3,0,1,3,0,0,4,2,2,3,1,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,17,병점역후문 - 병점역후문,2024-05,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,17-1,병점역후문 - 병점역후문,2024-05,일반인,0,0,0,0,8,51,32,97,55,108,41,66,18,37,46,33,54,33,43,28,38,15,63,15,121,30,80,20,202,59,222,31,123,19,82,15,0,14,0,1,0,0,0,0,0,0,0,0,
동탄역(동측),55399,17-1,병점역후문 - 병점역후문,2024-05,어린이,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,17-1,병점역후문 - 병점역후문,2024-05,청소년,0,0,0,0,0,0,1,2,19,3,0,0,0,2,1,1,1,2,0,1,2,0,5,2,11,0,9,2,21,6,7,1,7,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,17-1,병점역후문 - 병점역후문,2024-05,경로,0,0,0,0,1,5,1,1,3,7,5,9,3,4,10,5,8,4,2,1,8,7,10,1,15,3,2,0,3,1,1,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,17-1,병점역후문 - 병점역후문,2024-05,장애인,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-3,LH1단지.한양수자인 - LH1단지.한양수자인,2024-05,일반인,0,0,0,0,5,196,7,125,20,196,5,67,12,156,13,39,20,52,26,71,34,40,47,37,15,22,65,75,109,61,57,23,160,34,38,12,16,4,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-3,LH1단지.한양수자인 - LH1단지.한양수자인,2024-05,어린이,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,2,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-3,LH1단지.한양수자인 - LH1단지.한양수자인,2024-05,청소년,0,0,0,0,0,5,6,2,4,2,0,3,0,1,0,3,1,4,0,4,1,10,3,5,0,5,6,40,9,5,6,2,8,2,7,4,3,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-3,LH1단지.한양수자인 - LH1단지.한양수자인,2024-05,경로,0,0,0,0,0,5,1,5,0,10,0,3,9,7,12,5,9,10,5,7,5,4,15,6,1,2,15,2,9,5,2,1,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-3,LH1단지.한양수자인 - LH1단지.한양수자인,2024-05,장애인,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-3,LH1단지.한양수자인 - LH1단지.한양수자인,2024-05,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-5(A),장지동농협 - 장지동,2024-05,일반인,0,0,0,5,4,13,78,382,13,22,21,226,1,1,24,127,1,7,13,44,13,37,24,49,54,67,66,80,119,44,35,33,80,47,79,21,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-5(A),장지동농협 - 장지동,2024-05,어린이,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-5(A),장지동농협 - 장지동,2024-05,청소년,0,0,0,0,0,0,4,5,2,1,0,15,0,0,0,5,0,0,0,2,0,0,4,5,2,12,1,22,7,2,1,10,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-5(A),장지동농협 - 장지동,2024-05,경로,0,0,1,11,7,14,56,8,6,1,1,11,0,0,1,12,1,0,0,5,0,6,8,7,4,4,4,19,6,6,6,1,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-5(A),장지동농협 - 장지동,2024-05,장애인,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-5(B),동탄역(동측) - 동탄역(동측),2024-05,일반인,0,0,0,0,2,0,3,0,0,119,2,132,8,38,5,0,0,129,14,71,3,48,4,0,2,22,38,40,98,31,39,23,0,27,0,13,0,37,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-5(B),동탄역(동측) - 동탄역(동측),2024-05,어린이,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,7,0,3,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-5(B),동탄역(동측) - 동탄역(동측),2024-05,청소년,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,0,4,1,5,0,0,0,0,0,9,0,9,1,5,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-5(B),동탄역(동측) - 동탄역(동측),2024-05,경로,0,0,0,0,1,0,0,0,0,8,1,7,1,10,4,0,0,6,0,16,0,4,2,0,0,5,6,6,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-5(B),동탄역(동측) - 동탄역(동측),2024-05,장애인,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,19-5(B),동탄역(동측) - 동탄역(동측),2024-05,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,200,경기고속차고지 - 경기고속차고지,2024-05,일반인,0,0,0,0,0,0,0,0,112,120,40,66,57,73,1,2,0,0,74,31,49,22,159,35,144,33,2,2,228,39,130,14,123,16,98,9,206,24,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,200,경기고속차고지 - 경기고속차고지,2024-05,어린이,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,5,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,200,경기고속차고지 - 경기고속차고지,2024-05,청소년,0,0,0,0,0,0,0,0,12,1,5,3,3,5,0,0,0,0,3,0,4,0,7,0,14,5,0,0,17,1,6,0,4,1,6,0,8,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,200,경기고속차고지 - 경기고속차고지,2024-05,경로,0,0,0,0,0,0,0,0,2,18,3,12,9,28,1,1,0,0,2,4,4,1,11,2,16,8,0,0,0,0,2,1,3,1,6,2,10,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,200,경기고속차고지 - 경기고속차고지,2024-05,장애인,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,203,동탄2차고지 - 동탄2차고지,2024-05,일반인,0,0,0,0,46,96,246,408,284,269,105,165,168,138,92,112,148,105,129,115,114,60,111,50,227,110,348,115,316,87,326,87,404,75,267,76,0,2,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,203,동탄2차고지 - 동탄2차고지,2024-05,어린이,0,0,0,0,0,1,6,0,3,2,0,6,0,0,0,1,8,4,2,1,0,0,0,0,2,7,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,203,동탄2차고지 - 동탄2차고지,2024-05,청소년,0,0,0,0,2,1,6,6,21,3,1,2,3,8,6,8,6,3,2,20,2,8,4,17,8,22,9,59,2,14,6,5,5,14,7,8,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,203,동탄2차고지 - 동탄2차고지,2024-05,경로,0,0,0,0,0,4,7,22,2,10,2,11,6,10,4,10,1,13,4,33,2,2,5,5,5,20,5,5,2,3,3,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,203,동탄2차고지 - 동탄2차고지,2024-05,장애인,0,0,0,0,0,0,0,0,0,7,0,3,0,1,2,1,2,0,1,2,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,203,동탄2차고지 - 동탄2차고지,2024-05,국가유공자,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,205,경기고속차고지 - 경기고속차고지,2024-05,일반인,0,0,0,0,0,0,0,0,95,85,41,68,65,52,49,22,0,0,25,21,77,41,72,33,141,41,26,6,13,0,234,18,148,20,113,28,152,17,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,205,경기고속차고지 - 경기고속차고지,2024-05,어린이,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,205,경기고속차고지 - 경기고속차고지,2024-05,청소년,0,0,0,0,0,0,0,0,9,0,2,2,4,0,0,0,0,0,1,0,4,0,1,0,6,2,3,2,0,0,14,0,2,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,205,경기고속차고지 - 경기고속차고지,2024-05,경로,0,0,0,0,0,0,0,0,1,7,4,9,6,8,5,2,0,0,7,2,9,5,4,4,12,3,1,0,0,0,7,2,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,205,경기고속차고지 - 경기고속차고지,2024-05,장애인,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,205,경기고속차고지 - 경기고속차고지,2024-05,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,7-1A,동탄2차고지 - 동탄2차고지,2024-05,일반인,0,0,19,16,32,56,105,250,183,129,101,104,107,52,125,71,125,62,159,71,114,57,148,68,275,76,325,58,363,100,353,43,408,51,291,56,268,41,52,5,0,0,0,0,0,0,0,0,
동탄역(동측),55399,7-1A,동탄2차고지 - 동탄2차고지,2024-05,어린이,0,0,0,0,0,0,7,2,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,1,1,2,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
동탄역(동측),55399,7-1A,동탄2차고지 - 동탄2차고지,2024-05,청소년,0,0,0,1,0,0,9,2,15,6,0,3,1,3,4,5,5,11,12,4,2,5,5,7,8,18,20,24,10,14,7,3,4,4,5,7,12,12,2,0,0,0,0,0,0,0,0,0,
