정류장,정류장ID,노선ID,노선 번호,버스유형
메타폴리스(중),233001218,233000270,4108,직행좌석형시내버스
메타폴리스(중),233001218,233000265,4403,직행좌석형시내버스
메타폴리스(중),233001218,233000135,8501,직행좌석형시내버스
메타폴리스(중),233001218,233000333,8502,직행좌석형시내버스
메타폴리스(중),233001218,233000337,P9301(퇴근),직행좌석형시내버스
메타폴리스(중),233001218,200000043,64,일반형시내버스
메타폴리스(중),233001218,223000056,708,일반형시내버스
메타폴리스(중),233001218,223000105,9,일반형시내버스
메타폴리스(중),233001218,200000085,98,일반형시내버스
메타폴리스(중),233001218,233000379,H100,일반형시내버스
메타폴리스(중),233001218,233000390,H24,일반형시내버스
메타폴리스(중),233001218,233000275,H65,일반형시내버스
메타폴리스(중),233001218,233000277,H67,일반형시내버스
메타폴리스(중),233001218,234001245,M4108,광역급행형시내버스
메타폴리스(중),233001218,234000995,M4403,광역급행형시내버스
메타폴리스(중),233001218,241323004,12,마을버스
메타폴리스(중),233001218,241324001,17,마을버스
메타폴리스(중),233001218,241205018,81,마을버스
메타폴리스(중),233001218,241205022,H4,마을버스
메타폴리스(중),233001219,233000270,4108,직행좌석형시내버스
메타폴리스(중),233001219,233000265,4403,직행좌석형시내버스
메타폴리스(중),233001219,233000135,8501,직행좌석형시내버스
메타폴리스(중),233001219,233000333,8502,직행좌석형시내버스
메타폴리스(중),233001219,233000336,P9301(출근),직행좌석형시내버스
메타폴리스(중),233001219,200000043,64,일반형시내버스
메타폴리스(중),233001219,223000056,708,일반형시내버스
메타폴리스(중),233001219,223000105,9,일반형시내버스
메타폴리스(중),233001219,200000085,98,일반형시내버스
메타폴리스(중),233001219,233000379,H100,일반형시내버스
메타폴리스(중),233001219,233000390,H24,일반형시내버스
메타폴리스(중),233001219,233000275,H65,일반형시내버스
메타폴리스(중),233001219,233000277,H67,일반형시내버스
메타폴리스(중),233001219,234001245,M4108,광역급행형시내버스
메타폴리스(중),233001219,234000995,M4403,광역급행형시내버스
메타폴리스(중),233001219,241323004,12,마을버스
메타폴리스(중),233001219,241324001,17,마을버스
메타폴리스(중),233001219,241205018,81,마을버스
메타폴리스(중),233001219,241205022,H4,마을버스
다은마을(중),233001224,233000270,4108,직행좌석형시내버스
다은마을(중),233001224,233000265,4403,직행좌석형시내버스
다은마을(중),233001224,233000135,8501,직행좌석형시내버스
다은마을(중),233001224,233000333,8502,직행좌석형시내버스
다은마을(중),233001224,233000336,P9301(출근),직행좌석형시내버스
다은마을(중),233001224,233000077,1000,일반형시내버스
다은마을(중),233001224,200000043,64,일반형시내버스
다은마을(중),233001224,223000032,701A,일반형시내버스
다은마을(중),233001224,223000056,708,일반형시내버스
다은마을(중),233001224,223000105,9,일반형시내버스
다은마을(중),233001224,200000085,98,일반형시내버스
다은마을(중),233001224,233000379,H100,일반형시내버스
다은마을(중),233001224,233000277,H67,일반형시내버스
다은마을(중),233001224,234001245,M4108,광역급행형시내버스
다은마을(중),233001224,234000995,M4403,광역급행형시내버스
다은마을(중),233001224,241323004,12,마을버스
다은마을(중),233001224,241205018,81,마을버스
예당마을.롯데캐슬(중),233001281,234001708,1552,직행좌석형시내버스
예당마을.롯데캐슬(중),233001281,233000270,4108,직행좌석형시내버스
예당마을.롯데캐슬(중),233001281,233000265,4403,직행좌석형시내버스
예당마을.롯데캐슬(중),233001281,233000135,8501,직행좌석형시내버스
예당마을.롯데캐슬(중),233001281,233000333,8502,직행좌석형시내버스
예당마을.롯데캐슬(중),233001281,233000336,P9301(출근),직행좌석형시내버스
예당마을.롯데캐슬(중),233001281,223000056,708,일반형시내버스
예당마을.롯데캐슬(중),233001281,233000252,710,일반형시내버스
예당마을.롯데캐슬(중),233001281,233000128,712,일반형시내버스
예당마을.롯데캐슬(중),233001281,234000068,720-3,일반형시내버스
예당마을.롯데캐슬(중),233001281,233000379,H100,일반형시내버스
예당마을.롯데캐슬(중),233001281,233000340,H102,일반형시내버스
예당마을.롯데캐슬(중),233001281,234001245,M4108,광역급행형시내버스
예당마을.롯데캐슬(중),233001281,234000995,M4403,광역급행형시내버스
예당마을.롯데캐슬(중),233001281,241205018,81,마을버스
예당마을.롯데캐슬(중),233001281,241317017,H12,마을버스
예당마을.롯데캐슬(중),233001281,241006973,8455,일반형시외버스
예당마을.롯데캐슬(중),233001281,241007242,8840,일반형 공항버스
센트럴파크뷰아파트(중),233001283,233000135,8501,직행좌석형시내버스
센트럴파크뷰아파트(중),233001283,233000333,8502,직행좌석형시내버스
센트럴파크뷰아파트(중),233001283,233000077,1000,일반형시내버스
센트럴파크뷰아파트(중),233001283,223000032,701A,일반형시내버스
센트럴파크뷰아파트(중),233001283,223000056,708,일반형시내버스
센트럴파크뷰아파트(중),233001283,233000128,712,일반형시내버스
센트럴파크뷰아파트(중),233001283,233000379,H100,일반형시내버스
센트럴파크뷰아파트(중),233001283,241323004,12,마을버스
센트럴파크뷰아파트(중),233001283,241317002,19,마을버스
센트럴파크뷰아파트(중),233001283,241317019,19-5(B),마을버스
센트럴파크뷰아파트(중),233001283,241318003,6,마을버스
센트럴파크뷰아파트(중),233001283,241205021,709-1,마을버스
센트럴파크뷰아파트(중),233001283,241205018,81,마을버스
센트럴파크뷰아파트(중),233001283,241211019,H2,마을버스
센트럴파크뷰아파트(중),233001283,241318006,H20,마을버스
센트럴파크뷰아파트(중),233001283,241205023,H5,마을버스
센트럴파크뷰아파트(중),233001283,241205024,H6(A),마을버스
개나리공원,233001437,233000325,7200,직행좌석형시내버스
개나리공원,233001437,200000315,7-1A,일반형시내버스
개나리공원,233001437,200000085,98,일반형시내버스
개나리공원,233001437,233000340,H102,일반형시내버스
개나리공원,233001437,233000390,H24,일반형시내버스
개나리공원,233001437,241317017,H12,마을버스
솔빛마을.서해.쌍용아파트,233001450,233000270,4108,직행좌석형시내버스
솔빛마을.서해.쌍용아파트,233001450,233000265,4403,직행좌석형시내버스
솔빛마을.서해.쌍용아파트,233001450,233000336,P9301(출근),직행좌석형시내버스
솔빛마을.서해.쌍용아파트,233001450,200000043,64,일반형시내버스
솔빛마을.서해.쌍용아파트,233001450,223000105,9,일반형시내버스
솔빛마을.서해.쌍용아파트,233001450,200000085,98,일반형시내버스
솔빛마을.서해.쌍용아파트,233001450,233000277,H67,일반형시내버스
솔빛마을.서해.쌍용아파트,233001450,234001245,M4108,광역급행형시내버스
솔빛마을.서해.쌍용아파트,233001450,234000995,M4403,광역급행형시내버스
솔빛마을.서해.쌍용아파트,233001450,241317019,19-5(B),마을버스
솔빛마을.서해.쌍용아파트,233001450,241318003,6,마을버스
솔빛마을.서해.쌍용아파트,233001450,241205021,709-1,마을버스
솔빛마을.서해.쌍용아파트,233001450,241211019,H2,마을버스
솔빛마을.서해.쌍용아파트,233001450,241205023,H5,마을버스
노작마을.한화우림,233001486,233000390,H24,일반형시내버스
노작마을.한화우림,233001486,241323006,H25,마을버스
노작마을.한화우림,233001486,241205024,H6(A),마을버스
화성미디어센터,233002674,233000330,H101,일반형시내버스
화성미디어센터,233002674,233000275,H65,일반형시내버스
화성미디어센터,233002674,241205020,709,마을버스
화성미디어센터,233002674,241205022,H4,마을버스
화성미디어센터,233002674,241205023,H5,마을버스
화성미디어센터,233002674,241006889,8837,리무진형 공항버스
신일유토빌정문,233002681,241006889,8837,리무진형 공항버스
신일유토빌정문,233002681,241007242,8840,일반형 공항버스
동탄2동행정복지센터,233001640,233000077,1000,일반형시내버스
동탄2동행정복지센터,233001640,223000032,701A,일반형시내버스
동탄2동행정복지센터,233001640,241324001,17,마을버스
동탄2동행정복지센터,233001640,241205021,709-1,마을버스
동탄1동행정복지센터.헌혈의집,233001650,234001138,1551,직행좌석형시내버스
동탄1동행정복지센터.헌혈의집,233001650,234001290,1551B,직행좌석형시내버스
동탄1동행정복지센터.헌혈의집,233001650,233000268,200,일반형시내버스
동탄1동행정복지센터.헌혈의집,233001650,233000281,205,일반형시내버스
동탄1동행정복지센터.헌혈의집,233001650,233000128,712,일반형시내버스
동탄1동행정복지센터.헌혈의집,233001650,223000058,73,일반형시내버스
동탄1동행정복지센터.헌혈의집,233001650,223000105,9,일반형시내버스
동탄1동행정복지센터.헌혈의집,233001650,241324002,27,마을버스
동탄1동행정복지센터.헌혈의집,233001650,241205021,709-1,마을버스
동탄1동행정복지센터.헌혈의집,233001650,241323006,H25,마을버스
현대아이파크,233001651,234001138,1551,직행좌석형시내버스
현대아이파크,233001651,234001290,1551B,직행좌석형시내버스
