정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,도로명 주소,정류장ID
GGB233001218,메타폴리스(중),37.2042667,127.0674833,2023-10-16,36666,31240,경기도 화성시,경기,경기 화성시 반송동 248-1,233001218
GGB233001219,메타폴리스(중),37.2037333,127.0675167,2023-10-16,36667,31240,경기도 화성시,경기,경기 화성시 반송동 248,233001219
GGB233001224,다은마을(중),37.1999833,127.0675833,2023-10-16,36664,31240,경기도 화성시,경기,경기 화성시 반송동 180,233001224
GGB233001281,예당마을.롯데캐슬(중),37.21095,127.0720667,2023-10-16,36672,31240,경기도 화성시,경기,경기 화성시 반송동 257,233001281
GGB233001283,센트럴파크뷰아파트(중),37.1994333,127.06415,2023-10-16,37590,31240,경기도 화성시,경기,경기 화성시 석우동 107,233001283
GGB233001437,개나리공원,37.21135,127.0677167,2023-10-16,37533,31240,경기도 화성시,경기,경기 화성시 반송동 109,233001437
GGB233001438,개나리공원,37.2117,127.06755,2023-10-16,36721,31240,경기도 화성시,경기,경기 화성시 석우동 25-9,23001438
GGB233001450,솔빛마을.서해.쌍용아파트,37.1958167,127.0696333,2023-10-16,36680,31240,경기도 화성시,경기,경기 화성시 반송동 264-3,233001450
GGB233001486,노작마을.한화우림,37.1961833,127.0773333,2023-10-16,37616,31240,경기도 화성시,경기,경기 화성시 반송동 243-4,233001486
GGB233002674,화성미디어센터,37.20275,127.0739333,2023-10-16,55725,31240,경기도 화성시,경기,경기 화성시 반송동 243-2,233002674
GGB233002681,라마다호텔(공항버스),37.2057167,127.0751833,2023-10-16,55719,31240,경기도 화성시,경기,경기 화성시 반송동 243,233002681
GGB233001640,동탄2동행정복지센터,37.19715,127.0726,2023-10-16,37662,31240,경기도 화성시,경기,경기 화성시 반송동 263,233001640
GGB233001650,동탄1동행정복지센터.헌혈의집,37.20685,127.07235,2023-10-16,37749,31240,경기도 화성시,경기,경기 화성시 반송동 83,233001650
GGB233001651,현대아이파크,37.2057333,127.0706167,2023-10-16,37747,31240,경기도 화성시,경기,경기 화성시 반송동 85-4,233001651
GGB233001652,예당예원초,37.2107,127.0775833,2023-10-16,37758,31240,경기도 화성시,경기,경기 화성시 석우동 112,233001652
GGB233001653,롯데케슬정문,37.2092667,127.0749167,2023-10-16,37798,31240,경기도 화성시,경기,경기 화성시 석우동 111,233001653
GGB233001673,미즈파크병원,37.2096333,127.0604667,2023-10-16,37736,31240,경기도 화성시,경기,경기 화성시 반송동 233-1,233001673
