정류장ID,정류장,가중치
233000070,솔빛동탄경남아너스빌,4
233001218,메타폴리스(중),179
233001219,메타폴리스(중),179
233001224,다은마을(중),162
233001281,예당마을.롯데캐슬(중),180
233001283,센트럴파크뷰아파트(중),162
233001437,개나리공원,20
233001450,솔빛마을.서해.쌍용아파트,118
233001486,노작마을.한화우림,6
233001640,동탄2동행정복지센터,44
233001650,동탄1동행정복지센터.헌혈의집,144
233001651,현대아이파크,130
233001652,예당예원초,131
233001653,롯데케슬정문,122
233001673,미즈파크병원,34
233001675,센트럴파크,196
233001677,한화꿈에그린아파트,196
233001678,메타폴리스,130
233001679,동탄1동행정복지센터.헌혈의집,144
233001680,예당마을,8
233001681,신일유토빌정문,131
233001682,예당예원초,131
233001683,전하리교회.우미제일,241
233001697,센트럴포레스트정문,37
233001715,능동주공단지,22
233001720,동탄보건지소.우체국,16
233001721,우림필유,20
233001722,동탄고.동탄청소년문화의집,78
233001733,서해그랑블아파트,13
233001735,동탄보건지소.우체국,26
233001736,대우푸르지오.예당고등학교,26
233001963,반월e편한세상,14
233001972,잎새지하차도,21
233001973,잎새지하차도,21
233001978,IT단지(중),85
233002092,동양파라곤,36
233002093,동양파라곤,36
233002376,동탄홈플러스,45
233002674,화성미디어센터,20
233002681,신일유토빌정문,0
233002954,동탄119안전센터,2
233003186,우미제일.전하리교회,241
